label (V, E)

Real: (10000,22122,36)
Total edge union: (10000, 17810)
0 (2621, 4242)
1 (1105, 823)
2 (2334, 3930)
3 (101, 54)
4 (3855, 3853)
5 (858, 453)
6 (335, 282)
7 (688, 344)
8 (3434, 4964)
9 (62, 66)
10 (118, 60)
11 (112, 67)
12 (216, 167)
13 (214, 384)
14 (360, 250)
15 (90, 49)
16 (54, 30)
17 (97, 501)
18 (365, 193)
19 (374, 438)
20 (161, 83)
21 (66, 34)
22 (61, 43)
23 (154, 439)
24 (29, 15)
25 (27, 15)
26 (45, 26)
27 (10, 9)
28 (32, 32)
29 (3, 2)
30 (29, 15)
31 (12, 6)
32 (2, 1)
33 (2, 1)
34 (2, 1)
35 (0, 0)
36 (0, 0)

===================
Syn: (9726,22158,4)
Total edge union: (9725, 21967)

0 (7841, 7067)
1 (2884, 10460)
2 (1527, 2533)
3 (2483, 1907)
4 (0, 0)
